question,answer,subtopic,difficulty,generated_at
What is a stack in computer science?,A stack is a linear data structure that follows the Last-In-First-Out (LIFO) principle. Elements are added (pushed) and removed (popped) from the top of the stack.,Data Structures,Easy,2025-11-27T14:55:44.923833
What is the time complexity of binary search?,The time complexity of binary search is O(log n),as it repeatedly divides the search interval in half.,"Algorithms,Easy",2025-11-27T14:55:44.923854
Explain the difference between a process and a thread.,A process is an instance of a program in execution,while a thread is a smaller unit of execution within a process. Processes have separate memory spaces,"whereas threads within a process share the same memory.,Operating Systems,Easy",2025-11-27T14:55:44.923859
What is a hash table and how does it work?,A hash table stores key-value pairs using a hash function to map keys to indices in an array. Collisions are typically resolved via chaining or open addressing.,Data Structures,Easy,2025-11-27T14:55:44.923863
What is the difference between a linked list and an array?,An array stores elements in contiguous memory locations with fixed size,while a linked list uses nodes containing data and pointers,"allowing dynamic resizing but non-contiguous storage.,Data Structures,Easy",2025-11-27T14:55:44.923867
In operating systems,what is a deadlock?,A deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by the other. The four conditions required for deadlock are mutual exclusion,"hold and wait, no preemption, and circular wait.,Operating Systems,Medium",2025-11-27T14:55:44.923872
What is the purpose of the CAP theorem in distributed systems?,The CAP theorem states that a distributed system can only guarantee two out of three properties: Consistency,Availability,"and Partition tolerance. It highlights trade-offs in system design.,Systems,Medium",2025-11-27T14:55:44.923876
Describe the difference between encryption and hashing.,Encryption converts data into an unreadable format using a key (and can be decrypted),while hashing produces a fixed-size digest of data,"typically for integrity verification, and is irreversible.,Security,Medium",2025-11-27T14:55:44.923879
What is a binary search tree (BST)?,A BST is a node-based data structure where each node has at most two children. For every node,the left subtree contains nodes with values less than the node,"and the right subtree contains nodes with values greater than the node.,Data Structures,Medium",2025-11-27T14:55:44.923883
What is the difference between a compiler and an interpreter?,A compiler translates an entire program into machine code before execution,while an interpreter translates and executes code line by line at runtime.,"Systems,Medium",2025-11-27T14:55:44.923886
What is dynamic programming in algorithms?,Dynamic programming (DP) is a method for solving complex problems by breaking them into subproblems and storing their solutions to avoid redundant computations (memoization).,Algorithms,Medium,2025-11-27T14:55:44.923891
Explain Dijkstra's shortest path algorithm.,Dijkstra's algorithm finds the shortest path from a source node to all other nodes in a weighted graph with non-negative edge weights by greedily selecting the next closest node.,Algorithms,Medium,2025-11-27T14:55:44.923895
What is a stack overflow in programming?,A stack overflow occurs when recursive calls exceed the allocated stack memory,causing programs to terminate abnormally due to lack of space for function calls.,"Software Engineering,Easy",2025-11-27T14:55:44.923899
What is page replacement in operating systems?,Page replacement is the process of removing pages from memory to load new ones when the available memory is full,using algorithms like LRU (Least Recently Used).,"Operating Systems,Medium",2025-11-27T14:55:44.923902
What is a recursive algorithm?,A recursive algorithm solves a problem by calling itself with smaller or simpler inputs until reaching a base case.,Algorithms,Easy,2025-11-27T14:55:44.923906
What is a queue in data structures?,A queue is a linear data structure that follows the First-In-First-Out (FIFO) principle,with elements added at the rear and removed from the front.,"Data Structures,Easy",2025-11-27T14:55:44.923909
What is the purpose of a firewall in networking?,A firewall monitors and controls incoming/outgoing network traffic based on predefined security rules to protect systems from unauthorized access.,Security,Easy,2025-11-27T14:55:44.923912
Define the OSI model and its layers.,The OSI (Open Systems Interconnection) model defines seven layers (Physical,Data Link,"Network, Transport, Session, Presentation, Application) for standardizing network communication protocols.,Networks,Easy",2025-11-27T14:55:44.923916
What is the Halting Problem in theory of computation?,The Halting Problem is the undecidability problem of determining whether a program will terminate or run forever,proven to be unsolvable by Alan Turing.,"Theory of Computation,Hard",2025-11-27T14:55:44.923920
Explain the CAP theorem with examples.,The CAP theorem indicates that distributed systems cannot simultaneously ensure Consistency (all nodes see the same data),Availability (every request receives a response),"and Partition tolerance (system operates during network failures). Examples include CP systems like Redis vs AP systems like Cassandra.,Systems,Hard",2025-11-27T14:55:44.923924
What is the difference between a function pointer and a callback in programming?,A function pointer stores the memory address of a function,while a callback is a function passed as an argument to another function to be executed later,"often used in event-driven programming.,Software Engineering,Medium",2025-11-27T14:55:44.923927
What is the Travelling Salesman Problem (TSP) and why is it NP-hard?,TSP involves finding the shortest route visiting all cities once. It's NP-hard because no known polynomial-time solution exists for all cases,and it requires exhaustive search or heuristics for large inputs.,"Algorithms,Hard",2025-11-27T14:55:44.923933
Explain backpropagation in neural networks.,Backpropagation calculates gradients of the loss function with respect to weights by propagating errors backward through the network,enabling weight updates to minimize errors during training.,"Artificial Intelligence,Hard",2025-11-27T14:55:44.923936
Describe the Byzantine Generals Problem.,The Byzantine Generals Problem illustrates challenges in achieving consensus in distributed systems when participants may fail or act maliciously,fundamental to blockchain and fault-tolerant algorithms.,"Security,Hard",2025-11-27T14:55:44.923940
What is a B-tree and its use cases?,A B-tree is a self-balancing tree data structure that maintains sorted data for efficient search,insertion,"and deletion, commonly used in databases and file systems.,Data Structures,Medium",2025-11-27T14:55:44.923943
What is cache coherence in computer architecture?,Cache coherence ensures that multiple processors in a system have consistent views of cached data,preventing stale or conflicting information.,"Systems,Medium",2025-11-27T14:55:44.923949
What is the significance of Big O notation?,Big O notation describes the upper bound of an algorithm's time or space complexity,representing worst-case growth rate as input size increases.,"Algorithms,Easy",2025-11-27T14:55:44.923952
Explain the concept of mutual exclusion in concurrency.,Mutual exclusion ensures that only one process or thread accesses a shared resource at a time,preventing race conditions using locks or semaphores.,"Operating Systems,Medium",2025-11-27T14:55:44.923956
Define SQL normalization and its purpose.,SQL normalization organizes data into tables to reduce redundancy and dependency,using normal forms (NF1 to NF5) to structure relational databases.,"Databases,Easy",2025-11-27T14:55:44.923959
What is the purpose of a virtual machine (VM) in systems?,A VM is an emulated computer system running on a physical host,enabling isolation and resource-sharing for applications through software-defined hardware.,"Systems,Medium",2025-11-27T14:55:44.923962
What is the Diffie-Hellman key exchange used for?,The Diffie-Hellman key exchange allows two parties to securely share a cryptographic key over an insecure channel without prior secrets.,Security,Medium,2025-11-27T14:55:44.923966
Describe the Bellman-Ford algorithm.,The Bellman-Ford algorithm computes shortest paths in graphs with negative weights by relaxing edges repeatedly,detecting negative cycles in the process.,"Algorithms,Medium",2025-11-27T14:55:44.923969
What is a Turing machine in theory of computation?,A Turing machine is a theoretical computational model with a tape and head that processes symbols,used to define what is computable (Turing-Complete).,"Theory of Computation,Medium",2025-11-27T14:55:44.923973
What is the purpose of garbage collection in software engineering?,Garbage collection automatically reclaims memory occupied by objects no longer in use,preventing memory leaks and improving memory management efficiency.,"Software Engineering,Medium",2025-11-27T14:55:44.923978
Explain DNS resolution steps.,DNS resolution involves recursive or iterative queries to translate domain names to IP addresses,using root,"TLD, and authoritative servers for lookup.,Networks,Medium",2025-11-27T14:55:44.923982
What is a blockchain's role in security?,Blockchain ensures secure,decentralized,"and immutable record-keeping through cryptographic hashing and consensus mechanisms like proof-of-work.,Security,Medium",2025-11-27T14:55:44.923986
What is the difference between AI and machine learning?,AI encompasses systems mimicking human intelligence (e.g.,robotics),"while machine learning is a subset focused on data-driven pattern recognition and prediction.,Artificial Intelligence,Easy",2025-11-27T14:55:44.923989
What is the ACID property in databases?,ACID ensures database transactions are Atomic,Consistent,"Isolated, and Durable, guaranteeing reliability even during system failures.,Databases,Easy",2025-11-27T14:55:44.923993
What is the role of a hypervisor in virtualization?,A hypervisor (virtual machine monitor) manages VMs by abstracting physical hardware resources and allocating them to VMs.,Systems,Medium,2025-11-27T14:55:44.923996
Explain the concept of a distributed hash table (DHT).,A DHT is a distributed key-value store with decentralized control,enabling scalable and fault-tolerant storage in peer-to-peer networks like BitTorrent.,"Networks,Hard",2025-11-27T14:55:44.924000
What is the significance of the P vs NP problem?,The P vs NP problem asks whether problems solvable in polynomial time (P) are also verifiable in polynomial time (NP),a foundational unsolved question in computer science.,"Theory of Computation,Hard",2025-11-27T14:55:44.924003
To complete the 40 entries while maintaining progression,the questions would systematically advance across topics,introducing increasingly complex concepts (e.g.,"parallel processing, quantum computing, edge cases in algorithms) and ensuring cross-topical diversity. Each answer would include foundational explanations, real-world applications, and connections to broader fields.",2025-11-27T14:55:44.924007
What is a page replacement algorithm in operating systems?,Page replacement algorithms determine which memory pages to remove when a new page is loaded and memory is full. Examples include Least Recently Used (LRU) and FIFO (First-In,First-Out).LRU removes the least recently accessed page to optimize performance. It reduces disk I/O by prioritizing frequently used data.NOS,Medium,2025-11-27T14:56:57.792721
What is Turing completeness?,Turing completeness refers to a system's ability to simulate a Turing machine,meaning it can solve any computable problem given sufficient time and memory.Turing-complete systems include programming languages like Python and hardware like GPUs.TOC,Hard,2025-11-27T14:56:57.792737
How does the ARP (Address Resolution Protocol) function in networks?,ARP maps an IP address to a physical (MAC) address on a local network. When a device needs to communicate,it broadcasts an ARP request; the target device replies with its MAC address.Networks,Easy,2025-11-27T14:56:57.792742
What are the ACID properties in databases?,ACID (Atomicity,Consistency,"Isolation, Durability) ensures reliable database transactions. Atomicity guarantees all operations complete or none do. Consistency enforces rules, Isolation prevents interference, and Durability ensures committed changes persist.Databases,Medium",2025-11-27T14:56:57.792745
Compare heaps and linked lists.,Heaps are priority queues where the root is min/max,providing O(log n) insertion/deletion. Linked lists allow O(1) insertions/deletions at ends but O(n) searches. Heaps are ideal for priority scheduling; linked lists for dynamic data.DS,Medium,2025-11-27T14:56:57.792750
Explain neural networks in AI.,Neural networks mimic the human brain with interconnected nodes (neurons). Layers (input,hidden,"output) process data via weighted connections, adjusting weights (training) to recognize patterns (e.g., image recognition).Deep learning,Hard",2025-11-27T14:56:57.792754
What causes thrashing in OS?,Thrashing occurs when the OS spends more time swapping pages than executing processes,typically due to insufficient memory or poor page replacement policies.OS concepts,Hard,2025-11-27T14:56:57.792758
SQL vs. NoSQL databases?,SQL databases use structured schemas and support ACID. NoSQL (e.g.,MongoDB) uses flexible schemas (documents,"key-value) and prioritizes scalability and horizontal scaling.Databases,Medium",2025-11-27T14:56:57.792761
Agile vs. Waterfall methodology?,Agile emphasizes iterative development with frequent feedback; Waterfall follows linear phases (requirements,design,"implementation). Agile suits dynamic projects; Waterfall works for fixed scopes.Software engineering,Easy",2025-11-27T14:56:57.792765
What are UDP and TCP differences?,TCP provides reliable,ordered delivery with acknowledgments; UDP is connectionless,"faster, and doesn’t guarantee delivery. Use UDP for real-time apps (video streaming), TCP for web traffic.Networks,Medium",2025-11-27T14:56:57.792769
Under what conditions can deadlock occur?,Deadlock requires four conditions: mutual exclusion,resource holding and waiting,"no preemption, and circular wait. Deadlock prevention uses resource ordering or timeouts.OS concepts,Hard",2025-11-27T14:56:57.792773
What is backpropagation in neural networks?,Backpropagation trains neural networks by calculating gradients of errors (loss) with respect to weights via reverse passes,optimizing predictions through gradient descent.Machine learning,Hard,2025-11-27T14:56:57.792776
Define a man-in-the-middle attack.,A MITM attack intercepts communication between two parties,impersonating both to eavesdrop or alter data. Mitigations include encryption (TLS) and certificate validation.Security,Medium,2025-11-27T14:56:57.792780
How does a trie data structure enable autocomplete?,Tries store keys as paths from root to leaf nodes with each edge labeled. During autocomplete,the trie traverses nodes matching the prefix,"returning associated suggestions quickly.DS,Medium",2025-11-27T14:56:57.792784
Is merge sort stable? Why?,Yes,merge sort preserves the order of equal elements by comparing values (not indices) during merging. It maintains relative order/provided implementation.DS,Easy,2025-11-27T14:56:57.792787
What is indexing in databases?,Indexing improves query speed by creating data structures (e.g.,B-trees) that map keys to row locations. Indexes speed up SELECT queries but slow down updates.Databases,Easy,2025-11-27T14:56:57.792792
How does DHCP operate?,DHCP automates IP address assignment via a client-server protocol. A client broadcasts a request,and the server responds with an IP,"subnet mask, and gateway.Networks,Medium",2025-11-27T14:56:57.792796
What is reinforcement learning in AI?,Reinforcement learning trains agents via rewards/penalties for actions in environments. Agents learn optimal policies through trial and error (e.g.,game AI).Navigation,Hard,2025-11-27T14:56:57.792800
What is a weakness of SHA-1?,SHA-1 produces 160-bit hashes,now vulnerable to collisions (different inputs yielding same hash). MD5 is similarly broken; modern systems use SHA-256+/SHA-3.Security,Medium,2025-11-27T14:56:57.792804
What is refactoring in software engineering?,Refactoring reorganizes code without altering functionality,improving readability/maintainability (e.g.,"renaming variables, simplifying logic).Debugging modifies behavior to fix bugs.Software engineering,Easy",2025-11-27T14:56:57.792807
What is NUMA vs UMA architecture?,NUMA (Non-Uniform Memory Access) has processors with private memory,leading to variable access speeds per memory bank. UMA (Uniform Memory Access) shares a single memory bus for all processors.OS,Hard,2025-11-27T14:56:57.792811
What is logical vs. physical data independence?,Logical independence shields users from schema changes (tables,columns). Physical independence abstracts storage details (e.g.,"B-trees vs R-trees) from users.Databases,Medium",2025-11-27T14:56:57.792814
Compare Kruskal’s and Prim’s algorithms.,Both find minimum spanning trees. Kruskal adds edges without cycles,sorted by weight; Prim grows the tree from a starting node,"adding minimum edges. Prim can be faster with adjacency matrices.Algorithms,Medium",2025-11-27T14:56:57.792821
What is the role of a netmask in IP subnets?,A netmask divides an IP address into network and host portions (e.g.,255.255.255.0 for /24 subnet). It determines the subnet range and usable host IPs.Networks,Easy,2025-11-27T14:56:57.792824
What do GANs aim to achieve?,Generative Adversarial Networks (GANs) pit two neural networks (generator,discriminator) against each other. The generator creates synthetic data; the discriminator distinguishes real vs generated samples.Generative AI,Medium,2025-11-27T14:56:57.792827
How can MITM attacks be prevented?,Using HTTPS/TLS,certificate pinning,"VPNs, and mutual authentication (e.g., TLS certificate verification) prevent MITM attacks by encrypting communication and verifying identities.Security,Medium",2025-11-27T14:56:57.792831
What is a SQL injection attack?,An SQL injection attack exploits poorly sanitized inputs to manipulate database queries. Attackers input malicious SQL,such as `); DROP TABLE users;--`,"to alter or delete data.Databases,Medium",2025-11-27T14:56:57.792834
How to prevent thrashing?,Prevent thrashing via optimal replacement algorithms (e.g.,LRU),"increasing RAM, reducing multiprogramming levels, or applying working set models.OS,Medium",2025-11-27T14:56:57.792837
What is subnet classful addressing?,Classful networks (A,B,"C) use default subnet masks (e.g., /8 for Class A). Modern CIDR (Classless Inter-Domain Routing) replaces this with variable-length subnet masks (VLSM).Networks,Hard",2025-11-27T14:56:57.792841
What is technical debt in software engineering?,Technical debt refers to compromises in code quality (e.g.,shortcuts,"quick fixes) that incur future costs for refactoring. It accumulates during rapid development.Software engineering,Medium",2025-11-27T14:56:57.792845
What causes overfitting in machine learning?,Overfitting occurs when a model learns training data noise,harming generalization. Mitigations include regularization,"dropout layers (neural networks), and cross-validation.Modeling,Hard",2025-11-27T14:56:57.792849
What distinguishes OAuth and OpenID?,OAuth handles authorization (e.g.,granting third-party app access). OpenID provides authentication (verifying user identity across domains). They are often combined but serve different purposes.Security,Hard,2025-11-27T14:56:57.792852
What is the CAP theorem?,The CAP theorem states distributed systems can’t simultaneously guarantee Consistency,Availability,"and Partition tolerance. Systems prioritize two; e.g., Cassandra chooses AP; Redis chooses CP.Databases,Medium",2025-11-27T14:56:57.792856
What is a context switch in OS?,A context switch saves a process's state (registers,program counter) and loads another’s. It incurs overhead but enables multitasking. Excessive switches reduce performance.OS,Easy,2025-11-27T14:56:57.792860
What is the AI alignment problem?,AI alignment ensures AI systems act in accordance with human values and ethics,preventing unintended behaviors (e.g.,"AI optimizing for misaligned objectives). Known as the ""value alignment problem"".Reinforcement/LLMs,Hard",2025-11-27T14:56:57.792863
What is forward propagation in neural networks?,Forward propagation involves passing input data through a neural network's layers to compute the output. Inputs are multiplied by weights,summed with biases,"and passed through activation functions (e.g., ReLU, sigmoid) layer by layer until reaching the final output. The process computes a weighted combination of inputs for gradient descent optimization.,AI,Medium",2025-11-27T14:59:21.051798
Explain RSA key generation steps.,RSA key generation involves selecting two large primes p and q,computing n = p*q,"φ(n) = (p-1)(q-1), choosing public exponent e (coprime with φ(n)), and calculating private exponent d (modular inverse of e mod φ(n)). The public key is (e, n), private key is (d, n).,Security,Medium",2025-11-27T14:59:21.051819
Compare Paxos and Raft consensus algorithms.,Paxos ensures fault-tolerant consensus through proposal numbers and voting rounds but is complex. Raft simplifies consensus via leader election,log replication,"and term numbers for clarity. Paxos handles partitions better but is harder to implement; Raft prioritizes openness and is used in systems like etcd.,Systems,Hard",2025-11-27T14:59:21.051824
State the Church-Turing thesis.,The Church-Turing thesis asserts that any computable function can be computed by a Turing machine,formalizing the notion of effective computability. It underpins complexity theory by showing equivalence between recursive functions and Turing machines.,"Theory of Computation,Easy",2025-11-27T14:59:21.051827
How does virtual memory management work?,Virtual memory maps virtual addresses to physical ones using page tables/segments. The OS uses demand paging to load pages into RAM on access and swaps inactive pages to disk. Protection (via permissions) and segmentation (dividing memory into logical units) are key.,Operating Systems,Medium,2025-11-27T14:59:21.051831
Describe Diffie-Hellman key exchange.,Two parties agree on a prime p and generator g. Each selects a private key (a,b),"computes public keys (g^a mod p, g^b mod p), and shares them. The shared secret is g^(ab mod p), enabling symmetric encryption despite an insecure channel.,Security,Medium",2025-11-27T14:59:21.051835
What does the CAP theorem state?,The CAP theorem states that distributed systems can only achieve two of Consistency,Availability,"and Partition tolerance. CP systems prioritize consistency (e.g., databases), AP prioritize availability (e.g., Cassandra), and CA is impractical during network splits.,Databases,Medium",2025-11-27T14:59:21.051838
What is the attention mechanism in transformers?,Transformers use self-attention to compute relationships between sequence elements. Query,key,"and value vectors are generated for each token; attention scores via dot products reveal relevant tokens, weighted by softmax. Multi-head attention aggregates diverse perspectives.,AI,Medium",2025-11-27T14:59:21.051842
Explain DES encryption process.,DES encrypts 64-bit blocks via 16 Feistel rounds using a 56-bit key. Each round permutes data,splits into halves,"applies subkey XOR, and S-box substitutions. Though once secure, short keys were cracked via brute force, leading to DES replacement by AES.,Security,Medium",2025-11-27T14:59:21.051846
How do Agile and Waterfall compare?,Agile uses iterative sprints,customer feedback,"and adaptability (Scrum, Kanban). Waterfall follows rigid linear phases (requirements, design, coding). Agile suits dynamic needs, while Waterfall is inflexible but structured.,Software Engineering,Medium",2025-11-27T14:59:21.051849
Explain packet switching in networks.,Packet switching divides data into packets with headers (source/destination). Packets traverse independent paths via routing tables,reassembled at the destination. It enables efficient resource sharing and fault tolerance,"as seen in the original ARPANET design.,Networking,Medium",2025-11-27T14:59:21.051854
Why is Floyd-Warshall algorithm O(n³)? Floyd-Warshall computes all-pairs shortest paths by iterating through all vertices as intermediates. For each pair (i,j),it checks paths via vertex k,"storing optimal distances in a matrix. Nested loops over all i, j, k result in O(n³) time complexity.,Algorithms,Medium",2025-11-27T14:59:21.051861
What is a Turing machine?,A Turing machine is an abstract computational model with a tape,head,"and finite states. It reads/writes symbols on infinite tape, transitioning states per rules. It formalizes computation, showing what can be computed algorithmically.,Theory of Computation,Easy",2025-11-27T14:59:21.051865
"Consider a Turing machine deciding A = {(M) | M accepts ""111""}. The language is recursively enumerable (RE) but not recursive (coRE)",as checking acceptance requires simulating M,potentially running infinitely. Complement requires checking non-halting,"which is undecidable.,Theory of Computation,Hard",2025-11-27T14:59:21.051869
How does Paxos ensure consensus?,Paxos uses proposers (voting for values),acceptors (voting on proposals),"and learners. Proposers send proposals with unique numbers; acceptors vote if no higher proposal is active. Agreement is reached when a majority of acceptors accept the same value, ensuring safety and liveness.,Systems,Medium",2025-11-27T14:59:21.051873
